Date,Close/Last,Volume,Open,High,Low
18/10/2018,126.36,9989208,$128.4703,$129.1188,$125.8666
17/10/2018,129.75,18961040,$131.5289,$132.7484,$129.1375
16/10/2018,140.46,8573985,$138.3429,$140.7821,$137.0363
15/10/2018,136.60,4611820,$135.8748,$137.6944,$135.6425
12/10/2018,136.33,6391828,$136.591,$136.9975,$134.6165
11/10/2018,134.56,8702607,$138.0429,$139.5625,$134.3261
10/10/2018,138.11,5272862,$142.7663,$142.9502,$137.9267
09/10/2018,142.51,3641387,$143.3277,$143.5987,$142.2146
08/10/2018,143.63,3229339,$143.7342,$144.2859,$142.4565
05/10/2018,144.25,4602216,$146.0572,$146.9186,$143.1244
04/10/2018,146.45,4237519,$146.8218,$147.8962,$145.5345
03/10/2018,148.30,3315292,$149.0577,$149.4061,$147.8962
02/10/2018,148.82,3025052,$148.0801,$148.9028,$147.6058
01/10/2018,148.09,3737903,$146.8412,$148.4963,$146.8412
28/09/2018,146.36,3305324,$146.3088,$146.7589,$145.9507
27/09/2018,146.64,3475431,$147.1315,$147.4982,$146.3088
26/09/2018,146.74,7147572,$147.509,$148.4285,$146.483
25/09/2018,144.13,4030483,$145.0989,$145.5829,$143.5987
24/09/2018,145.22,4215756,$146.2507,$146.3475,$144.6634
21/09/2018,146.49,19847660,$146.6185,$147.7026,$145.9023
20/09/2018,146.30,5822864,$144.7795,$146.5217,$144.644
19/09/2018,144.28,4246174,$143.86,$145.1472,$143.4728
18/09/2018,143.79,3413076,$143.0179,$144.2036,$142.7372
17/09/2018,143.19,3307740,$143.6761,$144.2859,$143.0276
14/09/2018,143.57,3240966,$144.0729,$144.5085,$143.0373
13/09/2018,144.17,5150862,$142.6211,$144.2181,$142.3964
12/09/2018,141.87,4490979,$141.6725,$143.2309,$141.3434
11/09/2018,141.79,3374678,$141.3144,$142.2726,$140.5885
10/09/2018,140.98,3335742,$141.8952,$142.5727,$140.8885
07/09/2018,140.78,4453753,$141.2563,$141.8014,$140.4626
06/09/2018,141.69,4248781,$142.1662,$142.9211,$140.8692
05/09/2018,141.95,3107991,$140.5304,$142.0403,$140.3949
04/09/2018,141.00,3090177,$141.295,$141.4983,$140.1626
